GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CAPIJ001-01-CO,com.bbva.capi.data,DataFileOne,120,343,1,9,47,58,22,13,21,9
CAPIJ001-01-CO,com.bbva.capi.data,DataFileThree,60,287,6,22,26,54,21,12,15,4
CAPIJ001-01-CO,com.bbva.capi.data,DataFileTwo,67,362,1,19,26,65,10,22,9,13
CAPIJ001-01-CO,com.bbva.capi.batch,Step2,0,22,0,0,0,7,0,3,0,3
CAPIJ001-01-CO,com.bbva.capi.batch,Step1,0,36,0,0,0,12,0,3,0,3
